1 22 29 193 29 23 12 17 23 28 26 34 28
2 22 30 648 25 31 1 38 29 27 23 33 28
3 22 32 265 36 18 4 28 37 25 11 33 27
4 22 30 177 26 28 61 27 32 27 24 33 27
5 22 36 645 34 27 24 18 25 21 19 33 28
6 22 28 278 18 39 8 17 45 29 21 33 28
7 22 28 166 37 31 37 27 27 27 20 33 28
8 22 35 377 42 25 11 20 46 29 18 34 27
9 22 40 912 22 43 1 19 19 24 36 34 28
10 22 34 263 42 23 27 16 20 30 34 34 28
11 22 36 222 16 44 18 27 1 36 43 34 28
12 22 27 153 28 31 83 24 38 31 20 33 28
13 22 23 376 16 29 46 20 44 38 20 33 28
14 22 38 108 19 27 56 22 28 33 24 33 28
15 22 32 156 33 34 12 27 45 31 12 34 28
16 22 35 93 37 30 36 24 28 20 18 33 28
17 22 25 173 31 25 10 24 54 27 13 33 28
18 22 35 146 18 28 29 26 41 29 23 33 28
19 22 23 113 33 19 1 23 52 37 11 33 27
20 22 37 111 34 30 6 21 25 21 24 34 27
21 22 30 113 28 31 43 38 39 35 17 33 28
22 22 30 282 30 17 7 22 38 31 21 33 27
23 22 24 155 31 27 32 26 57 26 3 33 28
24 22 29 208 26 29 11 27 31 29 23 33 28
25 22 35 261 19 36 1 18 1 25 39 34 27
26 39 53 299 32 69 155 30 33 49 68 56 49
27 22 35 521 33 20 37 25 28 33 26 34 27
28 22 27 122 14 34 70 23 28 32 24 33 28
29 22 25 187 23 28 1 14 40 18 17 33 28
30 22 29 202 30 36 1 17 22 37 20 34 28
31 22 37 209 27 29 11 25 36 25 15 34 27
32 22 35 275 27 28 14 20 14 30 27 34 28
33 22 37 182 33 31 38 24 19 32 24 34 28
34 22 34 227 28 29 57 19 36 24 21 33 28
35 22 22 287 34 20 28 18 43 41 20 33 27
36 22 37 430 34 28 17 27 16 28 18 33 28
37 22 32 305 36 17 8 22 13 23 20 34 28
38 22 41 187 24 32 73 21 17 26 22 33 28
39 22 27 89 36 26 36 23 39 24 2 33 28
40 22 29 227 29 31 39 15 34 25 5 33 28
41 22 31 228 34 33 19 26 31 21 26 34 28
42 22 38 161 20 27 58 24 32 24 17 33 27
43 22 28 132 6 23 14 18 18 39 32 34 27
44 22 35 524 35 30 1 16 12 34 34 34 28
45 22 32 125 12 27 17 20 36 29 24 33 27
46 22 30 119 32 33 1 26 34 19 16 33 28
47 22 31 318 13 32 10 21 13 32 34 34 28
48 22 41 703 258 35 86 36 15 22 25 34 28
49 22 27 255 7 44 34 20 46 34 21 33 28
50 22 32 209 21 32 15 23 23 35 26 34 28
51 22 29 400 35 22 17 22 46 23 20 33 28
52 22 34 106 19 28 8 22 16 32 37 34 28
53 22 36 547 31 23 5 26 28 28 25 34 27
54 22 24 281 32 26 40 23 63 37 17 33 28
55 22 32 110 10 38 10 16 14 40 33 34 27
56 22 32 297 42 17 8 28 26 19 23 33 28
57 22 31 104 21 36 67 25 36 29 23 33 28
58 22 35 509 19 31 43 17 32 24 26 34 27
59 22 38 444 22 28 83 24 20 35 31 34 28
60 22 28 405 22 37 1 23 43 36 21 33 28
61 22 24 98 43 19 11 20 35 32 13 33 27
62 22 27 206 21 36 32 21 28 40 29 34 27
63 22 26 284 21 32 17 16 32 23 19 33 27
64 22 29 76 17 29 7 21 40 28 23 33 28
65 22 25 211 20 27 1 23 16 27 20 33 28
66 22 33 305 25 32 48 22 48 33 12 33 27
67 22 37 191 29 22 13 13 4 28 30 34 28
68 22 38 201 31 26 35 27 14 30 32 34 27
69 22 23 238 27 16 1 24 42 26 11 33 27
70 22 28 80 18 29 1 20 25 33 25 33 28
71 22 20 113 27 25 19 20 33 25 12 33 27
72 22 30 108 24 39 47 25 28 28 25 34 28
73 22 33 300 20 39 70 14 1 26 44 34 27
74 22 30 279 21 40 14 21 45 30 8 33 28
75 22 21 92 36 19 35 18 43 33 8 33 27
76 22 19 238 28 32 60 26 56 29 12 33 28
77 22 30 211 16 38 62 19 43 17 7 34 27
78 22 30 147 29 28 38 27 26 29 19 33 27
79 22 22 154 16 34 42 24 36 25 16 33 27
80 22 33 116 31 29 40 23 21 35 22 33 28
81 22 34 153 28 35 54 23 19 24 27 34 28
82 22 31 149 12 29 18 20 15 25 30 34 27
